total_price,unit_price,area,bedroom_num,livingroom_num,total_floor,build_year,followers,days_on_market,house_age,total_rooms,avg_room_area,floor_ratio,price_per_bedroom,market_heat,layout_ratio,district_code,district_level,district_天河区,district_海珠区,district_番禺区,district_白云区,district_荔湾区,district_越秀区,district_黄埔区,orientation_东,orientation_北,orientation_南,orientation_西,decoration_encoded,floor_type_encoded,district_level_encoded
588.4,44429.0,132.0,3.0,1.0,16.0,2018.0,24.0,14.0,7.0,4.0,26.4,0.75,147.1,1.6,1.5,海珠,核心区,False,True,False,False,False,False,False,False,False,False,True,3,3,3
390.5,32777.0,119.0,3.0,1.0,23.0,2013.0,17.0,22.0,12.0,4.0,23.8,0.25,97.625,0.7391304347826086,1.5,番禺,次核心区,False,False,True,False,False,False,False,False,True,False,False,3,1,2
269.2,34493.0,78.0,2.0,1.0,22.0,2018.0,10.0,20.0,7.0,3.0,19.5,0.5,89.73333333333333,0.47619047619047616,1.0,白云,次核心区,False,False,False,True,False,False,False,False,False,True,False,3,2,2
454.3,50607.0,90.0,2.0,1.0,13.0,2011.0,17.0,72.0,14.0,3.0,22.5,0.75,151.43333333333334,0.2328767123287671,1.0,荔湾,次核心区,False,False,False,False,True,False,False,False,True,False,False,2,3,2
873.5,72381.0,121.0,3.0,1.0,21.0,2022.0,42.0,30.0,3.0,4.0,24.2,0.75,218.375,1.3548387096774193,1.5,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,4,3,3
666.2,81229.0,82.0,2.0,1.0,8.0,2015.0,33.0,16.0,10.0,3.0,20.5,0.25,222.0666666666667,1.9411764705882353,1.0,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,2,1,3
754.3,62597.0,120.0,3.0,1.0,21.0,2002.0,38.0,88.0,23.0,4.0,24.0,0.25,188.575,0.42696629213483145,1.5,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,3,1,3
223.9,29823.0,75.0,3.0,1.0,21.0,2023.0,14.0,20.0,2.0,4.0,15.0,0.25,55.975,0.6666666666666666,1.5,黄埔,次核心区,False,False,False,False,False,False,True,False,False,True,False,4,1,2
549.2,58990.0,93.0,3.0,1.0,20.0,2002.0,26.0,4.0,23.0,4.0,18.6,0.5,137.3,5.2,1.5,荔湾,次核心区,False,False,False,False,True,False,False,False,False,True,False,3,2,2
399.5,33626.0,119.0,3.0,1.0,34.0,2013.0,14.0,20.0,12.0,4.0,23.8,0.5,99.875,0.6666666666666666,1.5,白云,次核心区,False,False,False,True,False,False,False,False,True,False,False,3,2,2
370.7,57751.0,64.0,2.0,1.0,22.0,2013.0,23.0,30.0,12.0,3.0,16.0,0.75,123.56666666666666,0.7419354838709677,1.0,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,2,3,3
323.9,36353.0,89.0,2.0,1.0,19.0,2009.0,21.0,117.0,16.0,3.0,22.25,0.25,107.96666666666665,0.17796610169491525,1.0,番禺,次核心区,False,False,True,False,False,False,False,False,False,True,False,2,1,2
423.1,34299.0,123.0,3.0,1.0,20.0,2023.0,19.0,7.0,2.0,4.0,24.6,0.75,105.775,2.375,1.5,黄埔,次核心区,False,False,False,False,False,False,True,False,False,True,False,3,3,2
1044.1,50778.0,194.0,4.5,1.0,16.0,2002.0,53.0,16.0,23.0,5.5,29.846153846153847,0.5,189.83636363636361,3.1176470588235294,2.25,越秀,核心区,False,False,False,False,False,True,False,False,False,True,False,1,2,3
896.6,63062.0,142.0,4.5,1.0,12.0,2022.0,47.0,49.0,3.0,5.5,21.846153846153847,0.25,163.01818181818183,0.94,2.25,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,4,1,3
575.4,61579.0,93.0,2.0,1.0,8.0,2005.0,32.0,63.0,20.0,3.0,23.25,0.75,191.79999999999998,0.5,1.0,天河,核心区,True,False,False,False,False,False,False,False,False,False,True,2,3,3
282.7,44114.0,64.0,2.0,1.0,11.0,2009.0,15.0,31.0,16.0,3.0,16.0,0.75,94.23333333333333,0.46875,1.0,越秀,核心区,False,False,False,False,False,True,False,False,False,True,False,3,3,3
345.2,49969.0,69.0,2.0,1.0,15.0,2001.0,21.0,0.0,24.0,3.0,17.25,0.5,115.06666666666666,21.0,1.0,海珠,核心区,False,True,False,False,False,False,False,False,True,False,False,3,2,3
449.5,42099.0,107.0,4.0,1.0,12.0,1995.0,27.0,53.0,30.0,5.0,17.833333333333332,0.75,89.9,0.5,2.0,海珠,核心区,False,True,False,False,False,False,False,False,False,True,False,4,3,3
1081.6,77757.0,139.0,4.0,1.0,23.0,1996.0,63.0,78.0,29.0,5.0,23.166666666666668,0.5,216.32,0.7974683544303798,2.0,越秀,核心区,False,False,False,False,False,True,False,False,False,True,False,4,2,3
247.0,50010.0,49.0,2.0,1.0,18.0,1995.0,10.0,0.0,30.0,3.0,12.25,0.5,82.33333333333333,10.0,1.0,荔湾,次核心区,False,False,False,False,True,False,False,False,False,False,True,2,2,2
606.3,70483.0,86.0,3.0,1.0,16.0,2016.0,30.0,11.0,9.0,4.0,17.2,0.25,151.575,2.5,1.5,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,2,1,3
492.6,46511.0,106.0,4.0,1.0,13.0,2007.0,23.0,43.0,18.0,5.0,17.666666666666668,0.75,98.52000000000001,0.5227272727272727,2.0,越秀,核心区,False,False,False,False,False,True,False,False,False,True,False,3,3,3
478.0,54723.0,87.0,2.0,1.0,21.0,2015.0,21.0,8.0,10.0,3.0,21.75,0.5,159.33333333333334,2.3333333333333335,1.0,海珠,核心区,False,True,False,False,False,False,False,False,False,True,False,4,2,3
529.0,53310.0,99.0,4.0,1.0,16.0,2004.0,27.0,74.0,21.0,5.0,16.5,0.5,105.8,0.36,2.0,海珠,核心区,False,True,False,False,False,False,False,False,False,True,False,3,2,3
530.5,40726.0,130.0,3.0,1.0,22.0,2020.0,36.0,2.0,5.0,4.0,26.0,0.75,132.625,12.0,1.5,白云,次核心区,False,False,False,True,False,False,False,True,False,False,False,2,3,2
755.4,73816.0,102.0,3.0,1.0,13.0,2001.0,37.0,14.0,24.0,4.0,20.4,0.25,188.85,2.466666666666667,1.5,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,3,1,3
527.0,65857.0,80.0,3.0,1.0,11.0,1995.0,27.0,10.0,30.0,4.0,16.0,0.5,131.75,2.4545454545454546,1.5,海珠,核心区,False,True,False,False,False,False,False,False,False,True,False,2,2,3
148.9,39130.0,38.0,1.0,1.0,8.0,2008.0,3.0,54.0,17.0,2.0,12.666666666666666,0.5,74.45,0.05454545454545454,0.5,荔湾,次核心区,False,False,False,False,True,False,False,False,False,True,False,3,2,2
548.5,57035.0,96.0,3.0,1.0,15.0,2014.0,26.0,38.0,11.0,4.0,19.2,0.5,137.125,0.6666666666666666,1.5,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,2,2,3
482.0,40871.0,118.0,3.0,1.0,17.0,2005.0,19.0,24.0,20.0,4.0,23.6,0.5,120.5,0.76,1.5,荔湾,次核心区,False,False,False,False,True,False,False,False,False,True,False,4,2,2
640.3,61330.0,104.0,3.0,1.0,9.0,2016.0,38.0,1.0,9.0,4.0,20.8,0.75,160.075,19.0,1.5,天河,核心区,True,False,False,False,False,False,False,False,False,False,True,4,3,3
460.0,51548.0,89.0,2.0,1.0,19.0,2012.0,31.0,45.0,13.0,3.0,22.25,0.25,153.33333333333334,0.6739130434782609,1.0,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,3,1,3
415.2,36684.0,113.0,3.0,1.0,13.0,1988.0,23.0,27.0,37.0,4.0,22.6,0.25,103.8,0.8214285714285714,1.5,番禺,次核心区,False,False,True,False,False,False,False,False,False,True,False,3,1,2
185.9,30220.0,62.0,2.0,1.0,19.0,2019.0,8.0,3.0,6.0,3.0,15.5,0.5,61.96666666666667,2.0,1.0,番禺,次核心区,False,False,True,False,False,False,False,False,False,True,False,2,2,2
694.8,48823.0,142.0,4.0,1.0,25.0,2020.0,30.0,20.0,5.0,5.0,23.666666666666668,0.5,138.95999999999998,1.4285714285714286,2.0,黄埔,次核心区,False,False,False,False,False,False,True,False,False,True,False,3,2,2
887.3,71368.0,124.0,3.0,1.0,10.0,1985.0,40.0,41.0,40.0,4.0,24.8,0.25,221.825,0.9523809523809523,1.5,越秀,核心区,False,False,False,False,False,True,False,False,False,True,False,2,1,3
1007.4,69263.0,145.0,3.0,1.0,12.0,2014.0,57.0,112.0,11.0,4.0,29.0,0.25,251.85,0.504424778761062,1.5,天河,核心区,True,False,False,False,False,False,False,False,True,False,False,4,1,3
311.6,32175.0,97.0,3.0,1.0,24.0,2007.0,13.0,41.0,18.0,4.0,19.4,0.25,77.9,0.30952380952380953,1.5,白云,次核心区,False,False,False,True,False,False,False,True,False,False,False,3,1,2
467.9,59900.0,78.0,2.0,1.0,13.0,2011.0,26.0,32.0,14.0,3.0,19.5,0.75,155.96666666666667,0.7878787878787878,1.0,海珠,核心区,False,True,False,False,False,False,False,False,False,True,False,1,3,3
369.3,57499.0,64.0,2.0,1.0,20.0,2010.0,22.0,25.0,15.0,3.0,16.0,0.75,123.10000000000001,0.8461538461538461,1.0,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,3,3,3
412.2,44632.0,92.0,3.0,1.0,14.0,2008.0,24.0,20.0,17.0,4.0,18.4,0.5,103.05,1.1428571428571428,1.5,海珠,核心区,False,True,False,False,False,False,False,False,False,True,False,3,2,3
1095.65,86118.375,137.0,4.5,1.0,22.0,2009.0,65.0,44.0,16.0,5.5,21.076923076923077,0.25,199.20909090909092,1.4444444444444444,2.25,天河,核心区,True,False,False,False,False,False,False,False,False,True,False,4,1,3
264.3,29796.0,89.0,3.0,1.0,22.0,2000.0,15.0,36.0,25.0,4.0,17.8,0.75,66.075,0.40540540540540543,1.5,番禺,次核心区,False,False,True,False,False,False,False,False,False,False,True,4,3,2
511.9,62479.0,82.0,2.0,1.0,7.0,2002.0,26.0,8.0,23.0,3.0,20.5,0.75,170.63333333333333,2.888888888888889,1.0,越秀,核心区,False,False,False,False,False,True,False,True,False,False,False,3,3,3
514.1,34421.0,149.0,4.0,1.0,23.0,2006.0,35.0,34.0,19.0,5.0,24.833333333333332,0.25,102.82000000000001,1.0,2.0,白云,次核心区,False,False,False,True,False,False,False,False,False,True,False,4,1,2
