title,district,district_code,total_price,unit_price,house_info,follow_info,url,community
宝岗大道 3室1厅 132平米,海珠区,海珠,588.4,44429,3室1厅 132平米 西 精装 高楼层 共16层 2018年建,24人关注 14天前发布,https://example.com/house_0,宝岗大道
化龙花园 3室1厅 119平米,番禺区,番禺,390.5,32777,3室1厅 119平米 东北 精装 低楼层 共23层 2013年建,17人关注 22天前发布,https://example.com/house_1,化龙花园
永泰花园 2室1厅 78平米,白云区,白云,269.2,34493,2室1厅 78平米 南 精装 中楼层 共22层 2018年建,10人关注 20天前发布,https://example.com/house_2,永泰花园
龙津路小区 2室1厅 90平米,荔湾区,荔湾,454.3,50607,2室1厅 90平米 北 简装 高楼层 共13层 2011年建,17人关注 72天前发布,https://example.com/house_3,龙津路小区
珠江新城花园 3室2厅 121平米,天河区,天河,873.5,72381,3室2厅 121平米 西南 豪装 高楼层 共21层 2022年建,42人关注 30天前发布,https://example.com/house_4,珠江新城花园
员村山顶 2室1厅 82平米,天河区,天河,666.2,81229,2室1厅 82平米 东南 简装 低楼层 共8层 2015年建,33人关注 16天前发布,https://example.com/house_5,员村山顶
体育西路小区 3室1厅 120平米,天河区,天河,754.3,62597,3室1厅 120平米 南 精装 低楼层 共21层 2002年建,38人关注 88天前发布,https://example.com/house_6,体育西路小区
南岗花园 3室1厅 75平米,黄埔区,黄埔,223.9,29823,3室1厅 75平米 南北 豪装 低楼层 共21层 2023年建,14人关注 20天前发布,https://example.com/house_7,南岗花园
龙津路小区 3室1厅 93平米,荔湾区,荔湾,549.2,58990,3室1厅 93平米 西南 精装 中楼层 共20层 2002年建,26人关注 4天前发布,https://example.com/house_8,龙津路小区
嘉禾花园 3室1厅 119平米,白云区,白云,399.5,33626,3室1厅 119平米 北 精装 中楼层 共34层 2013年建,14人关注 20天前发布,https://example.com/house_9,嘉禾花园
骏景花园 2室1厅 64平米,天河区,天河,370.7,57751,2室1厅 64平米 东南 简装 高楼层 共22层 2013年建,23人关注 30天前发布,https://example.com/house_10,骏景花园
化龙花园 2室1厅 89平米,番禺区,番禺,323.9,36353,2室1厅 89平米 南 简装 低楼层 共19层 2009年建,21人关注 117天前发布,https://example.com/house_11,化龙花园
夏园花园 3室1厅 123平米,黄埔区,黄埔,423.1,34299,3室1厅 123平米 西南 精装 高楼层 共20层 2023年建,19人关注 7天前发布,https://example.com/house_12,夏园花园
署前路小区 5室1厅 206平米,越秀区,越秀,1044.1,50778,5室1厅 206平米 东南 毛坯 中楼层 共16层 2002年建,53人关注 16天前发布,https://example.com/house_13,署前路小区
棠下小区 5室1厅 142平米,天河区,天河,896.6,63062,5室1厅 142平米 南 豪装 低楼层 共12层 2022年建,47人关注 49天前发布,https://example.com/house_14,棠下小区
龙口西小区 2室1厅 93平米,天河区,天河,575.4,61579,2室1厅 93平米 西 简装 高楼层 共8层 2005年建,32人关注 63天前发布,https://example.com/house_15,龙口西小区
广州大道花园 2室1厅 64平米,越秀区,越秀,282.7,44114,2室1厅 64平米 东南 精装 高楼层 共11层 2009年建,15人关注 31天前发布,https://example.com/house_16,广州大道花园
新港西路 2室1厅 69平米,海珠区,海珠,345.2,49969,2室1厅 69平米 西北 精装 中楼层 共15层 2001年建,21人关注 0天前发布,https://example.com/house_17,新港西路
赤岗花园 4室2厅 107平米,海珠区,海珠,449.5,42099,4室2厅 107平米 东南 豪装 高楼层 共12层 1995年建,27人关注 53天前发布,https://example.com/house_18,赤岗花园
广州大道花园 4室1厅 139平米,越秀区,越秀,1081.6,77757,4室1厅 139平米 南 豪装 中楼层 共23层 1996年建,63人关注 78天前发布,https://example.com/house_19,广州大道花园
龙津路小区 2室1厅 49平米,荔湾区,荔湾,247.0,50010,2室1厅 49平米 西 简装 中楼层 共18层 1995年建,10人关注 0天前发布,https://example.com/house_20,龙津路小区
石牌村 3室2厅 86平米,天河区,天河,606.3,70483,3室2厅 86平米 南北 简装 低楼层 共16层 2016年建,30人关注 11天前发布,https://example.com/house_21,石牌村
建设六马路 4室1厅 106平米,越秀区,越秀,492.6,46511,4室1厅 106平米 南 精装 高楼层 共13层 2007年建,23人关注 43天前发布,https://example.com/house_22,建设六马路
新港西路 2室1厅 87平米,海珠区,海珠,478.0,54723,2室1厅 87平米 南 豪装 中楼层 共21层 2015年建,21人关注 8天前发布,https://example.com/house_23,新港西路
新港西路 4室1厅 99平米,海珠区,海珠,529.0,53310,4室1厅 99平米 南北 精装 中楼层 共16层 2004年建,27人关注 74天前发布,https://example.com/house_24,新港西路
机场路花园 3室1厅 130平米,白云区,白云,530.5,40726,3室1厅 130平米 东 简装 高楼层 共22层 2020年建,36人关注 2天前发布,https://example.com/house_25,机场路花园
